Product name ,Component ,Aluminum,Copper ,Steel ,Plastic ,Li-ion battery,PCB ,Flat panel glass,CRT glass ,Other glass,Other metals,Others,Total mass (g),Category
HP Compaq 6000 (2009),Motherboard Port ,12.8,24.4,0.9,62.5,,,,,,,,100.6,TRADITIONAL DESKTOP
HP Compaq 6000 (2009),Optical drive ,,23.2,446.4,169.8,,32.9,,,,,,672.3,TRADITIONAL DESKTOP
HP Compaq 6000 (2009),Power supply ,,,731.2,,,533.3,,,,,,1264.5,TRADITIONAL DESKTOP
HP Compaq 6000 (2009),Power switch ,,1.7,,8.9,,,,,,,,10.6,TRADITIONAL DESKTOP
HP Compaq 6000 (2009),Rear fan ,10.3,10.1,18.9,63.9,,1.5,,,,,,104.7,TRADITIONAL DESKTOP
HP Compaq 6000 (2009),Speaker,27.7,1.1,1.8,,,,,,,,,30.6,TRADITIONAL DESKTOP
Desktop (unkown model and year),Disk drive/CD ROM ,433.4,,286.6,18.8,,144.9,,,,,,883.7,TRADITIONAL DESKTOP
Desktop (unkown model and year),Floppy drive ,405.5,,234.4,,,31.1,,,,,,671.1,TRADITIONAL DESKTOP
Desktop (unkown model and year),Hard disk drive,409.1,,,,,31.4,,,,,,440.5,TRADITIONAL DESKTOP
Desktop (unkown model and year),Motherboard ,40.0,,,,,930.0,,,,,,970.0,TRADITIONAL DESKTOP
Desktop (unkown model and year),Power supply ,151.2,148.6,635.1,111.2,,79.5,,,,,5.3,"1,130.9",TRADITIONAL DESKTOP
Desktop (unkown model and year),Other components*,,181.3,"5,198.9",453.3,,38.9,,,,,,"5,872.3",TRADITIONAL DESKTOP
Dell Optiplex 780 ultra small form factor (2010),Casing ,,,"1,195.0",63.0,,,,,,,,"1,258.0",TRADITIONAL DESKTOP
Dell Optiplex 780 ultra small form factor (2010),Interior modules,303.6,69.0,312.0,,,7.4,,,,,104.0,796.0,TRADITIONAL DESKTOP
Dell Optiplex 780 ultra small form factor (2010),Motherboard,37.0,30.0,33.0,2.0,,258.0,,,,31.0,36.0,427.0,TRADITIONAL DESKTOP
Dell Optiplex 780 ultra small form factor (2010),Power supply ,11.0,125.0,220.0,6.0,,96.0,,,,,18.0,476.0,TRADITIONAL DESKTOP
